CNN,Street_Name,PCI_Score,From_Street,To_Street,PCI_Change_Date,Treatment_or_Survey,Street_Accepted_For_Maintenance,Functional_Class
953000,19th St,83,Rhode Island St,Kansas St,2019-10-19T09:18:31.000,Survey,Yes,Residential
8257000,Leavenworth St,82,Bernard St,Broadway,2019-08-25T09:33:04.000,Survey,Yes,Residential
12847000,Union St,73,Via Ferlinghetti,Stockton St,2019-10-05T09:45:03.000,Survey,Yes,Residential
7580000,Jones St,83,Pleasant St,Clay St,2019-08-25T09:31:00.000,Survey,Yes,Residential
8758202,Market St,52,Gough St,Valencia St,2019-09-08T09:34:28.000,Survey,Yes,Arterial
8919000,Mccormick St,83,End,Morrell Pl \ Pacific Ave,2019-10-05T09:35:09.000,Survey,Yes,Residential
6204000,Girard St,35,Mansell St,Ordway St,2019-09-01T09:27:00.000,Survey,Yes,Residential
9037000,Minerva St,100,Capitol Ave,Orizaba Ave,2018-03-15T15:06:08.000,Treatment,Yes,Residential
5209000,Elmira St,41,Thomas Ave,Helena St,2019-10-20T09:24:41.000,Survey,Yes,Residential
8746201,Market St,75,Grant Ave \ Ofarrell St,04th St \ Ellis St \ Stockton St,2019-08-25T09:34:24.000,Survey,Yes,Arterial
3028101,Bosworth St,81,Brompton Ave,Lippard Ave,2019-08-30T15:12:08.000,Survey,Yes,Arterial
6078101,Geary Blvd,64,21st Ave,22nd Ave,2019-08-30T15:32:34.000,Survey,Yes,Arterial
12488000,Tennessee St,78,23rd St,24th St,2019-10-27T09:16:03.000,Survey,Yes,Residential
2841000,Beach St,67,Mason St,Taylor St,2019-09-29T09:20:13.000,Survey,Yes,Collector
213201,03rd St,82,Mendell St \ Palou Ave,Quesada Ave,2019-08-31T09:17:10.000,Survey,Yes,Arterial
8551000,Lynch St,85,Leavenworth St,Hyde St,2019-10-05T09:33:53.000,Survey,Yes,Residential
5965000,Funston Ave,84,Lincoln Way,Irving St,2019-10-13T09:26:23.000,Survey,Yes,Residential
9783000,Oakdale Ave,94,Ingalls St,End,2019-11-02T09:36:55.000,Survey,Yes,Residential
6929000,Hillway Ave,17,Carl St,Parnassus Ave,2019-10-20T09:29:08.000,Survey,Yes,Residential
6209000,Girard St,85,Fratessa Ct,03rd St \ San Bruno Ave,2019-09-01T09:15:39.000,Survey,Yes,Residential
2736000,Barneveld Ave,77,Newcomb Ave,Oakdale Ave,2019-09-28T09:19:45.000,Survey,Yes,Residential
3486000,Cabrillo St,93,19th Ave,20th Ave,2019-08-30T15:13:31.000,Survey,Yes,Residential
7384000,Jackson St,79,Adele Ct,Powell St,2019-10-05T09:30:22.000,Survey,Yes,Collector
1602000,28th St,96,Sanchez St,Noe St,2019-08-30T15:07:48.000,Survey,Yes,Residential
2334000,Anza St,93,16th Ave,17th Ave,2019-08-30T15:10:28.000,Survey,Yes,Residential
7034000,Howard St,86,Malden Aly,02nd St,2019-08-30T15:35:21.000,Survey,Yes,Arterial
950000,19th St,64,Wisconsin St,Carolina St,2019-10-19T09:18:30.000,Survey,Yes,Residential
2932000,Benton Ave,89,Porter St,Bache St,2018-12-07T08:30:56.000,Treatment,Yes,Residential
13040000,Utah St,85,Mariposa St,18th St,2019-10-27T09:16:05.000,Survey,Yes,Residential
1561000,27th Ave,87,Taraval St,Ulloa St,2018-07-13T14:15:21.000,Survey,Yes,Residential
1210000,22nd St,61,Worth St,Hoffman Ave,2019-08-30T15:06:12.000,Survey,Yes,Residential
12660000,Townsend St,53,Ritch St,Clyde St,2019-08-30T15:44:37.000,Survey,Yes,Collector
2041000,47th Ave,76,Cabrillo St,Fulton St,2019-08-30T15:09:35.000,Survey,Yes,Residential
777000,17th St,80,Arkansas St,Wisconsin St,2019-10-27T09:18:08.000,Survey,Yes,Residential
25644000,Clipper St: Sanchez St Intersection,100,SANCHEZ ST,Intersection,2019-06-03T11:17:38.000,Treatment,No,
1118000,21st St,59,Dolores St,Chattanooga St,2019-08-30T15:05:45.000,Survey,Yes,Residential
3931000,Chenery St,91,Chilton Ave,Burnside Ave,2019-08-30T15:15:25.000,Survey,Yes,Residential
8374201,Lincoln Way,69,36th Ave,37th Ave,2019-08-30T15:37:41.000,Survey,Yes,Arterial
12346000,Sutter St,43,Lyon St,Presidio Ave,2019-10-26T09:43:25.000,Survey,Yes,Collector
231101,03rd St,75,Hwy 101 S On Ramp \ Jamestown Ave,Key Ave,2019-08-31T09:17:30.000,Survey,Yes,Arterial
11769000,Serrano Dr,100,Fuente Ave,Arellano Ave,2017-07-26T15:25:33.000,Treatment,Yes,Residential
4626000,De Haro St,67,Division St,Berry St,2019-10-19T09:23:33.000,Survey,Yes,Collector
714000,16th St,57,Utah St,Potrero Ave,2019-09-28T09:18:03.000,Survey,Yes,Arterial
12511000,Teresita Blvd,100,Rio Ct,Bella Vista Way,2016-06-07T15:15:41.000,Treatment,Yes,Arterial
9094000,Mission St,75,Annie St,03rd St,2019-08-30T15:40:03.000,Survey,Yes,Arterial
2044000,47th Ave,82,Irving St,Judah St,2018-08-16T14:20:50.000,Survey,Yes,Residential
11542000,Sansome St,75,Sutter St,Bush St,2019-09-08T09:41:11.000,Survey,Yes,Arterial
4289000,Columbus Ave,57,Kearny St,Pacific Ave,2019-08-24T09:23:07.000,Survey,Yes,Arterial
5853000,Frederick St,57,Shrader St,Stanyan St,2019-10-13T09:26:01.000,Survey,Yes,Collector
13597000,Wheeler Ave,41,Blanken Ave,Lathrop Ave,2019-08-31T09:46:42.000,Survey,Yes,Residential
3696000,Carl St,98,Shrader St,Stanyan St,2019-10-20T09:21:52.000,Survey,Yes,Collector
5445000,Fell St,83,Buchanan St,Webster St,2019-09-08T09:24:55.000,Survey,Yes,Arterial
5923000,Fulton St,94,16th Ave,17th Ave,2019-08-30T15:31:25.000,Survey,Yes,Arterial
3725000,Carrizal St,100,Parque Dr,Geneva Ave,2019-06-12T08:49:20.000,Treatment,Yes,Residential
6101000,Geary Blvd,95,44th Ave,45th Ave,2019-08-30T15:33:04.000,Survey,Yes,Residential
7800000,Kelloch Ave,100,Schwerin St,Acacia St \ Velasco Ave,2019-06-12T08:51:14.000,Treatment,Yes,Residential
9218000,Missouri St,17,Yellow Cab Access Road,Cesar Chavez St,2019-10-19T09:15:55.000,Survey,Yes,Residential
12619000,Tocoloma Ave,100,End,Blanken Ave,2019-06-12T08:59:07.000,Treatment,Yes,Residential
13571000,Welsh St,91,04th St,End,2019-08-30T15:45:30.000,Survey,Yes,Residential
7641000,Judah St,52,06th Ave,07th Ave,2019-10-26T09:31:13.000,Survey,Yes,Arterial
26690000,Chestnut St: Polk St Intersection,100,POLK ST,Intersection,2018-04-24T16:27:28.000,Treatment,No,
22792000,Darien Way: San Fernando Way Intersection,100,SAN FERNANDO WAY,Intersection,2019-06-17T08:47:03.000,Treatment,No,
3308000,Bryant St,57,18th St,19th St,2019-10-27T09:21:00.000,Survey,Yes,Collector
2329000,Anza St,95,12th Ave,Funston Ave,2019-08-30T15:10:24.000,Survey,Yes,Residential
9052000,Minna St,87,14th St,15th St,2018-08-06T15:10:02.000,Survey,Yes,Residential
1946000,42nd Ave,100,Vicente St,Wawona St,2018-06-29T14:09:00.000,Treatment,Yes,Residential
22796000,Darien Way: San Rafael Way Intersection,100,SAN RAFAEL WAY,Intersection,2019-06-17T08:46:46.000,Treatment,No,
13493000,Wawona St,100,39th Ave,40th Ave,2019-06-11T10:59:45.000,Treatment,Yes,Residential
22773000,Darien Way: Santa Ana Ave Intersection,100,SANTA ANA AVE,Intersection,2019-06-17T08:48:12.000,Treatment,No,
11039000,Ritch St,90,Bryant St,Brannan St,2019-08-30T15:42:12.000,Survey,Yes,Residential
22772000,Darien Way: San Benito Way Intersection,100,SAN BENITO WAY,Intersection,2019-06-17T08:48:37.000,Treatment,No,
13659000,Williams Ave,84,Venus St,Apollo St,2019-10-12T09:46:58.000,Survey,Yes,Collector
1572000,27th St,96,Diamond St,Douglass St,2019-08-30T15:07:39.000,Survey,Yes,Residential
4768000,Diamond St,88,Surrey St,Unnamed 026,2019-08-30T15:21:11.000,Survey,Yes,Residential
5505000,Filbert St,83,Columbus Ave \ Via Bufano,Scotland St,2019-09-29T09:25:10.000,Survey,Yes,Residential
12470000,Teddy Ave,100,Delta St,Elliot St,2019-06-11T10:59:45.000,Treatment,Yes,Residential
3760101,Cashmere St,53,End,Hudson Ave,2019-08-31T09:22:08.000,Survey,Yes,Residential
11004000,Rhode Island St,86,24th St,25th St,2019-10-19T09:40:22.000,Survey,Yes,Residential
5048000,Eastwood Dr,100,San Ramon Way,Wildwood Way,2019-06-11T10:59:45.000,Treatment,Yes,Residential
22791000,Darien Way: San Leandro Way Intersection,100,SAN LEANDRO WAY,Intersection,2019-06-17T08:47:42.000,Treatment,No,
10404000,Phelps St,50,Mckinnon Ave,Newcomb Ave,2019-08-31T09:38:27.000,Survey,Yes,Residential
10704000,Powell St,86,Bay St,North Point St,2019-09-02T09:39:43.000,Survey,Yes,Residential
4234000,Cole St,100,Fulton St,Grove St,2019-06-11T10:59:45.000,Treatment,Yes,Residential
2144000,Albion St,92,15th St,16th St,2019-08-30T15:09:45.000,Survey,Yes,Residential
12468000,Teddy Ave,100,Alpha St,Rutland St,2019-06-11T10:59:45.000,Treatment,Yes,Residential
8554000,Lyon St,100,Haight St,Page St,2019-06-11T10:59:45.000,Treatment,Yes,Residential
10851000,Quintara St,72,15th Ave \ Fanning Way,16th Ave,2019-06-11T10:59:45.000,Treatment,Yes,Residential
13089002,Vallejo St,80,San Antonio Pl,Pollard Pl \ Romolo St,2019-10-05T09:14:54.000,Survey,Yes,Residential
10307000,Paul Ave,37,Carr St,Gould St,2019-10-12T09:38:07.000,Survey,Yes,Arterial
4255000,Coleridge St,100,Esmeralda Ave,Virginia Ave,2018-03-14T16:42:20.000,Treatment,Yes,Residential
26702000,Francisco St: Polk St Intersection,100,POLK ST,Intersection,2018-04-24T16:27:28.000,Treatment,No,
5756000,Francisco St,83,Grant Ave,Midway St,2019-10-05T09:25:28.000,Survey,Yes,Residential
212101,03rd St,82,Oakdale Ave,Mendell St \ Palou Ave,2019-08-31T09:17:09.000,Survey,Yes,Arterial
4236000,Cole St,79,Hayes St,Fell St,2019-09-28T09:22:58.000,Survey,Yes,Residential
3929000,Chenery St,90,Brompton Ave,Lippard Ave,2019-08-30T15:15:24.000,Survey,Yes,Residential
12446000,Taylor St,85,Jackson St,Pacific Ave,2019-08-25T09:43:38.000,Survey,Yes,Residential
1604000,28th St,90,Castro St,Diamond St,2019-08-30T15:07:50.000,Survey,Yes,Residential
4127000,Clayton St,83,Fulton St,Grove St,2019-09-28T09:22:52.000,Survey,Yes,Residential
4807101,Divisadero St,66,Golden Gate Ave,Turk St,2019-08-25T09:24:00.000,Survey,Yes,Arterial
9315102,Montgomery St,65,School Aly,Alta St,2019-10-26T09:35:57.000,Survey,Yes,Residential
12695000,Trinity St,100,Sutter St,Bush St,2016-10-11T13:09:27.000,Survey,Yes,Residential
6614000,Haight St,94,Baker St \ Buena Vista Ave,Lyon St,2019-08-30T15:34:18.000,Survey,Yes,Arterial
25589000,Larkin St: North Point St Intersection,100,NORTH POINT ST,Intersection,2018-04-24T16:27:28.000,Treatment,No,
10957000,Redwood St,81,Franklin St,End,2019-09-28T09:16:25.000,Survey,Yes,Residential
9737000,Ofarrell St,86,Hollis St,Webster St,2019-10-13T09:36:38.000,Survey,Yes,Residential
10306000,Paul Ave,33,03rd St \ Gilman Ave,Carr St,2019-10-12T09:38:06.000,Survey,Yes,Arterial
10702000,Powell St,83,Francisco St,Vandewater St,2019-10-05T09:39:42.000,Survey,Yes,Residential
7076000,Hudson Ave,89,Reuel Ct,Keith St,2019-09-01T09:29:19.000,Survey,Yes,Collector
128000,02nd Ave,83,Hugo St,Irving St,2019-10-13T09:16:40.000,Survey,Yes,Residential
5551000,Fillmore St,49,Wilmot St,Pine St,2019-10-26T09:25:23.000,Survey,Yes,Collector
11393000,San Bruno Ave,68,03rd St \ Girard St,Campbell Ave,2019-09-01T09:41:07.000,Survey,Yes,Residential
5673000,Folsom St,74,07th St,Langton St,2019-08-30T15:30:49.000,Survey,Yes,Arterial
26691000,Lombard St: Polk St Intersection,100,POLK ST,Intersection,2018-04-24T16:27:28.000,Treatment,No,
10584000,Polk St,100,Chestnut St,Francisco St,2018-04-23T14:31:18.000,Treatment,Yes,Arterial
11973000,Somerset St,33,Mansell St,Ordway St,2019-10-20T09:42:08.000,Survey,Yes,Residential
9314000,Montgomery St,28,Montague Pl,Union St,2019-10-26T09:35:56.000,Survey,Yes,Residential
358000,07th Ave,80,Lincoln Way,Hugo St,2019-10-13T09:17:40.000,Survey,Yes,Arterial
8838000,Mason St,95,Bay St,North Point St,2019-09-02T09:34:51.000,Survey,Yes,Residential
1652000,30th Ave,99,Lawton St,Moraga St,2018-07-30T14:16:23.000,Survey,Yes,Residential
7452000,Jasper Pl,83,Union St,Filbert St,2019-10-05T09:30:35.000,Survey,Yes,Residential
197101,03rd St,77,Marin St,Arthur Ave \ Cargo Way,2019-08-31T09:16:52.000,Survey,Yes,Arterial
3323000,Buchanan St,71,Waller St,Laussat St,2019-09-08T09:21:02.000,Survey,Yes,Residential
8394000,Linden St,83,Octavia St,Laguna St,2019-08-24T09:33:40.000,Survey,Yes,Residential
317000,06th Ave,63,Geary Blvd,Anza St,2019-08-30T15:01:49.000,Survey,Yes,Arterial
7790000,Keith St,52,Wallace Ave,Yosemite Ave,2019-10-19T09:31:54.000,Survey,Yes,Residential
9305000,Montgomery St,40,Merchant St,Columbus Ave \ Washington St,2019-09-29T09:35:51.000,Survey,Yes,Arterial
2477000,Cesar Chavez St,20,Evans Ave,Kansas St,2019-08-24T09:22:27.000,Survey,Yes,Arterial
2203000,Alma St,86,Belvedere St,Cole St,2019-10-26T09:19:10.000,Survey,Yes,Residential
6834000,Hayes St,84,Shrader St,Stanyan St,2019-09-28T09:29:02.000,Survey,Yes,Collector
10958000,Redwood St,82,Laguna St,End,2019-09-28T09:40:09.000,Survey,Yes,Residential
11394000,San Bruno Ave,85,Campbell Ave,Beeman Ln,2019-09-01T09:41:08.000,Survey,Yes,Residential
13667000,Wills St,85,Catalina St \ Middle Point Rd,End,2016-10-05T13:11:44.000,Survey,Yes,Residential
7785000,Keith St,52,Revere Ave,Shafter Ave,2019-10-19T09:31:49.000,Survey,Yes,Residential
26704000,North Point St: Polk St Intersection,100,POLK ST,Intersection,2018-04-24T16:27:28.000,Treatment,No,
13141000,Van Dyke Ave,23,Keith St,Lane St,2019-08-31T09:45:38.000,Survey,Yes,Collector
1036000,20th St,85,Arkansas St,Wisconsin St,2019-10-27T09:18:38.000,Survey,Yes,Residential
3546000,California St,83,Helen St,Hyde St,2019-09-02T09:21:41.000,Survey,Yes,Arterial
11854000,Shrader St,75,Oak St,Page St,2019-10-26T09:41:51.000,Survey,Yes,Residential
206101,03rd St,86,Innes Ave,Newhall St,2019-08-31T09:17:02.000,Survey,Yes,Arterial
1377000,25th Ave,95,Anza St,Balboa St,2019-08-30T15:06:57.000,Survey,Yes,Arterial
3383000,Burnett Ave,74,Hopkins Ave,Vista Ln,2019-08-30T15:13:07.000,Survey,Yes,Residential
9014000,Middle Point Rd,85,Fairfax Ave \ West Point Rd,Hare St,2019-08-31T09:35:25.000,Survey,Yes,Arterial
11785000,Shafter Ave,43,Jennings St,Keith St,2019-08-31T09:41:45.000,Survey,Yes,Residential
12862000,Union St,14,Larkin St,Polk St,2019-10-13T09:45:15.000,Survey,Yes,Collector
10627000,Post St,56,Grant Ave,Stockton St,2019-09-08T09:39:02.000,Survey,Yes,Arterial
3121000,Bridgeview Dr,80,Newhall St \ Revere Ave,Tampa Ln,2019-08-31T09:20:32.000,Survey,Yes,Residential
5507000,Filbert St,84,Mason St,Taylor St,2019-09-29T09:25:11.000,Survey,Yes,Residential
11664000,Security Pacific Pl,60,Ofarrell St,End,2019-09-08T09:41:42.000,Survey,Yes,Residential
4303000,Columbus Ave,89,Houston St,Francisco St,2019-08-24T09:23:14.000,Survey,Yes,Arterial
4965000,Downey St,82,Frederick St,Ashbury St,2019-10-26T09:24:16.000,Survey,Yes,Residential
4875201,Dolores St,88,21st St,22nd St,2019-08-30T15:28:40.000,Survey,Yes,Arterial
11205000,Rutland St,64,Tioga Ave,Tucker Ave,2019-09-01T09:40:34.000,Survey,Yes,Residential
10830001,Quint St,65,Jerrold Ave,End,2019-10-12T09:39:54.000,Survey,Yes,Arterial
1200000,22nd St,90,Chattanooga St,Church St,2019-08-30T15:06:05.000,Survey,Yes,Residential
3030101,Bosworth St,68,Chilton Ave,Hamerton Ave,2019-08-30T15:12:10.000,Survey,Yes,Arterial
7891000,Kirkwood Ave,32,Earl St,Dormitory Rd \ Kiska Rd,2019-09-01T09:31:59.000,Survey,Yes,Residential
11387000,San Bruno Ave,85,Ward St,Nelson Ave,2019-09-01T09:41:04.000,Survey,Yes,Residential
10456000,Pine St,83,Sansome St,Century Pl,2019-09-08T09:38:44.000,Survey,Yes,Arterial
6035001,Gaven St,87,Bowdoin St,End,2018-08-18T13:58:39.000,Survey,Yes,Residential
5817000,Franklin St,91,Myrtle St,Geary Blvd,2019-08-24T09:25:55.000,Survey,Yes,Arterial
8350201,Lincoln Way,85,12th Ave,Funston Ave,2019-10-13T09:33:33.000,Survey,Yes,Arterial
4959000,Douglass St,95,26th St,Cesar Chavez St,2019-08-30T15:29:21.000,Survey,Yes,Residential
1916000,41st Ave,100,Noriega St,Ortega St,2018-01-19T16:22:43.000,Treatment,Yes,Residential
33485000,Arballo Dr: Font Blvd \ Tapia Dr Intersection,100,FONT BLVD \ TAPIA DR,Intersection,2019-12-16T16:03:55.000,Treatment,No,
2161201,Alemany Blvd,94,Silver Ave,Tingley St,2019-08-30T15:09:49.000,Survey,Yes,Arterial
10395000,Phelps St,69,Davidson Ave,Evans Ave,2019-09-28T09:38:22.000,Survey,Yes,Collector
12262000,Sunnydale Ave,85,Delta St \ Melra Ct,Schwerin St,2019-09-01T09:43:00.000,Survey,Yes,Arterial
3497000,Cabrillo St,84,30th Ave,31st Ave,2019-08-30T15:13:40.000,Survey,Yes,Residential
113000,01st St,51,Lansing St,Harrison St \ I-80 E On Ramp,2019-08-30T15:00:26.000,Survey,Yes,Arterial
8744202,Market St,77,Geary St,03rd St \ Kearny St,2019-08-25T09:34:22.000,Survey,Yes,Arterial
13372000,Waller St,83,Central Ave,Masonic Ave,2019-10-26T09:46:00.000,Survey,Yes,Residential
9762000,Oak St,81,Broderick St,Baker St,2019-09-08T09:36:49.000,Survey,Yes,Arterial
8923000,Mckinnon Ave,85,Mendell St,03rd St,2019-09-01T09:35:11.000,Survey,Yes,Residential
4942000,Douglass St,79,Market St,18th St,2019-08-30T15:29:10.000,Survey,Yes,Residential
9571000,Newhall St,88,La Salle Ave,Mckinnon Ave,2019-10-12T09:36:18.000,Survey,Yes,Residential
3536000,California St,91,Stockton St,Pratt Pl,2019-10-26T09:21:36.000,Survey,Yes,Arterial
6565000,Grove St,66,Broderick St,Baker St,2019-09-28T09:28:26.000,Survey,Yes,Residential
5447000,Fell St,86,Fillmore St,Steiner St,2019-09-08T09:24:56.000,Survey,Yes,Arterial
13317000,Virginia Ave,76,Elsie St,Elsie St \ Eugenia Ave,2018-12-07T08:30:56.000,Treatment,Yes,Residential
7362000,Jackson St,77,Battery St,Custom House Pl,2019-09-08T09:30:10.000,Survey,Yes,Residential
6092201,Geary Blvd,69,35th Ave,36th Ave,2019-08-30T15:32:53.000,Survey,Yes,Arterial
10171000,Page St,83,Octavia St,Laguna St,2019-09-28T09:37:37.000,Survey,Yes,Collector
5331201,Evans Ave,95,Keith St,Mendell St,2019-09-28T09:24:45.000,Survey,Yes,Arterial
12489000,Tennessee St,12,24th St,25th St,2019-10-27T09:16:03.000,Survey,Yes,Residential
1654000,30th Ave,85,Noriega St,Ortega St,2018-07-30T14:16:25.000,Survey,Yes,Residential
10477000,Pine St,84,Polk St,Van Ness Ave,2019-09-02T09:38:56.000,Survey,Yes,Arterial
8232000,Le Conte Ave,83,Le Conte Cir,Jennings St,2019-10-12T09:32:56.000,Survey,Yes,Residential
1547000,27th Ave,93,Geary Blvd,Anza St,2019-08-30T15:07:30.000,Survey,Yes,Residential
6150101,Geneva Ave,81,Carter St \ Walbridge St,Parque Dr,2019-10-12T09:26:46.000,Survey,Yes,Arterial
5016000,Dunshee St,83,Oakdale Ave,Drummond Aly,2019-08-31T09:24:19.000,Survey,Yes,Residential
13614000,Whitney Young Cir,63,Carpenter Ct \ Hawkins Ln,Hillview Ct \ Lindsay Cir,2019-09-01T09:46:47.000,Survey,Yes,Residential
13527000,Webster St,83,Hickory St,Fell St,2019-09-08T09:46:34.000,Survey,Yes,Arterial
13378000,Waller St,85,Belvedere St,Cole St,2019-10-26T09:46:03.000,Survey,Yes,Arterial
4784201,Diamond Heights Blvd,95,Arbor St,Elk St \ Sussex St,2019-08-30T15:25:45.000,Survey,Yes,Arterial
9687000,North Point St,82,Grant Ave,Stockton St,2019-08-24T09:36:24.000,Survey,Yes,Arterial
2446000,Arleta Ave,85,Delta St,Elliot St,2019-09-01T09:19:28.000,Survey,Yes,Residential
4094000,Clay St,34,Parkhurst Aly,Powell St,2019-10-13T09:22:44.000,Survey,Yes,Residential
5678000,Folsom St,49,08th St,09th St,2019-08-30T15:30:53.000,Survey,Yes,Arterial
2205000,Alma St,83,Shrader St,Stanyan St,2019-10-26T09:19:11.000,Survey,Yes,Residential
3700000,Carmel St,45,Clayton St \ Twin Peaks Blvd,Belvedere St,2019-10-26T09:21:54.000,Survey,Yes,Residential
7935000,La Salle Ave,85,Newhall St,Phelps St,2019-08-31T09:32:15.000,Survey,Yes,Residential
337000,06th St,70,Clara St,Harrison St,2019-08-30T15:02:01.000,Survey,Yes,Arterial
6895000,Hester Ave,100,Peninsula Ave,Wheeler Ave,2018-06-15T09:07:00.000,Treatment,Yes,Residential
7957000,Laguna St,64,Golden Gate Ave,Turk St,2019-08-24T09:32:27.000,Survey,Yes,Collector
755000,17th Ave,90,Balboa St,Cabrillo St,2019-08-30T15:04:31.000,Survey,Yes,Residential
12486000,Tennessee St,49,22nd St,Tubbs St,2019-10-27T09:16:02.000,Survey,Yes,Residential
6039101,Geary Blvd,62,Gough St \ Peter Yorke Way \ Starr King Way,Cleary Ct,2019-10-13T09:26:31.000,Survey,Yes,Arterial
9576000,Newhall St,37,Quesada Ave,Bridgeview Dr \ Revere Ave,2019-10-20T09:36:21.000,Survey,Yes,Residential
5816000,Franklin St,87,Ofarrell St \ Starr King Way,Myrtle St,2019-08-24T09:25:54.000,Survey,Yes,Arterial
12755000,Turner Ter,64,Missouri St,End,2019-10-20T09:44:56.000,Survey,Yes,Residential
229101,03rd St,80,Hollister Ave,Ingerson Ave,2019-08-31T09:17:28.000,Survey,Yes,Arterial
4638000,De Haro St,55,23rd St,24th St,2019-10-19T09:23:39.000,Survey,Yes,Residential
13768000,York St,60,19th St,20th St,2019-10-27T09:47:17.000,Survey,Yes,Residential
12855000,Union St,79,Jones St,Black Pl,2019-08-24T09:45:10.000,Survey,Yes,Collector
1504000,26th St,22,Wisconsin St,Blair Ter,2019-10-27T09:19:03.000,Survey,Yes,Residential
8817000,Mason St,53,Shephard Pl \ Truett St,Washington St,2019-10-13T09:34:38.000,Survey,Yes,Residential
12463000,Taylor St,85,Bay St,North Point St,2019-09-02T09:43:49.000,Survey,Yes,Collector
2773000,Bay St,85,Midway St,Stockton St,2019-08-24T09:19:59.000,Survey,Yes,Arterial
13650000,Willard St,88,Mcallister St,Fulton St,2019-08-30T15:45:37.000,Survey,Yes,Residential
6879000,Hemway Ter,87,Ashbury St \ Fulton St,End,2019-08-30T15:34:59.000,Survey,Yes,Residential
12592000,Thornton Ave,84,Flora St,Reddy St,2019-08-31T09:44:18.000,Survey,Yes,Residential
6020002,Garrison Ave,83,Rey St,Schwerin St,2019-09-01T09:27:26.000,Survey,Yes,Residential
5677000,Folsom St,51,Rodgers St,08th St,2019-08-30T15:30:52.000,Survey,Yes,Arterial
7249000,Ingerson Ave,74,Hawes St,Redondo St,2019-10-12T09:29:56.000,Survey,Yes,Residential
11494000,San Marcos Ave,100,Castenada Ave,End,2017-02-24T14:53:42.000,Treatment,Yes,Residential
13405000,Washington St,59,Davis St,Battery St,2019-09-02T09:46:08.000,Survey,Yes,Arterial
6578102,Guerrero St,93,Camp St,17th St,2019-08-30T15:33:56.000,Survey,Yes,Arterial
4871101,Dolores St,94,19th St,Cumberland St,2019-08-30T15:28:33.000,Survey,Yes,Arterial
13420000,Washington St,85,Stone St,Powell St,2019-09-29T09:46:16.000,Survey,Yes,Collector
164000,03rd St,88,Stevenson St,Jessie St,2019-08-30T15:00:52.000,Survey,Yes,Arterial
12697000,Truett St,85,Mason St \ Shephard Pl,End,2019-10-06T09:44:42.000,Survey,Yes,Residential
9297000,Montgomery St,84,Post St,Sutter St,2019-10-06T09:35:45.000,Survey,Yes,Arterial
393000,08th Ave,69,Cabrillo St,Fulton St,2019-08-30T15:02:25.000,Survey,Yes,Residential
8743201,Market St,85,02nd St,Montgomery St \ New Montgomery St,2019-08-25T09:34:21.000,Survey,Yes,Arterial
10172000,Page St,51,Laguna St,Buchanan St,2019-10-20T09:37:38.000,Survey,Yes,Residential
2566000,Avery St,55,Geary Blvd,Post St,2019-10-26T09:19:36.000,Survey,Yes,Residential
11687000,Scott St,80,Fell St,Hayes St,2019-09-28T09:41:36.000,Survey,Yes,Residential
5074000,Eddy St,54,Pierce St,Scott St,2019-10-13T09:24:27.000,Survey,Yes,Residential
6463000,Green St,10,Hamlin St,Hyde St,2019-10-13T09:28:05.000,Survey,Yes,Residential
9317201,Montgomery St,74,Alta St,Filbert St,2019-10-26T09:16:31.000,Survey,Yes,Residential
11305001,Saint Germain Ave,79,Twin Peaks Blvd,End,2015-11-24T17:44:56.000,Survey,Yes,Residential
1089000,21st Ave,96,Rivera St,Santiago St,2018-07-17T14:10:35.000,Survey,Yes,Residential
10649000,Post St,51,Steiner St,Pierce St,2019-08-25T09:39:13.000,Survey,Yes,Collector
10484000,Pine St,100,Webster St,Orben Pl,2019-08-25T09:38:58.000,Survey,Yes,Arterial
2437000,Arkansas St,78,Mariposa St,18th St,2019-10-19T09:19:24.000,Survey,Yes,Residential
15017201,Mission Bay Blvd,87,Terry A Francois Blvd,Vara St,2019-08-30T14:59:59.000,Survey,Yes,Residential
13408000,Washington St,82,Sansome St,Hotaling Pl,2019-09-02T09:46:10.000,Survey,Yes,Arterial
3273000,Brussels St,75,Harkness Ave,Wilde Ave,2019-09-01T09:20:56.000,Survey,Yes,Residential
10946000,Raymond Ave,95,Elliot St,Sawyer St,2019-09-01T09:40:05.000,Survey,Yes,Residential
5949000,Fulton St,95,42nd Ave,43rd Ave \ Chain Of Lakes Dr,2019-08-30T15:31:44.000,Survey,Yes,Arterial
13096000,Vallejo St,85,Emery Ln,Turk Murphy Ln,2019-09-29T09:45:28.000,Survey,Yes,Residential
8836000,Mason St,85,Francisco St,Vandewater St,2019-10-05T09:34:49.000,Survey,Yes,Residential
4629000,De Haro St,40,15th St,16th St,2019-10-19T09:23:35.000,Survey,Yes,Collector
8233000,Le Conte Ave,77,Jennings St,03rd St,2019-10-12T09:32:57.000,Survey,Yes,Residential
12738000,Turk Blvd,59,Arbol Ln \ Lyon St,Central Ave,2019-08-25T09:44:54.000,Survey,Yes,Arterial
8087000,Lane St,79,Newcomb Ave,Oakdale Ave,2019-09-01T09:32:35.000,Survey,Yes,Residential
305000,05th St,74,Welsh St,Brannan St,2019-08-30T15:01:41.000,Survey,Yes,Arterial
11580000,Santa Monica Way,100,San Lorenzo Way,Santa Paula Ave,2017-09-05T10:01:10.000,Treatment,Yes,Residential
